Dons,Src,Conditions,Avantages
Tir en mouvement*,MJ,"Dex 13, Souplesse du serpent, Tir à bout portant, BBA +4",Attaque à distance pendant un déplacement
Tir en retraite*,MJRA,"Dex 13, Esquive, Souplesse du serpent, Tir à bout portant, Tir en mouvement, BBA +6.",Effectuer une attaque à distance pendant une retraite
Tir indirect*,UI,"Dex 19, Combat en aveugle, Science du tir de précision, Tir à bout portant, Tir de précision, BBA +11",Fait rebondir les attaques à distance pour éviter l'abri total
Tir monté*,MJ,Combat monté,Réduit de moitié le malus des attaques à distance pour un personnage monté
Tir optimisé*,AG,"Tir à bout portant, maniement de la fronde ou du bâton de jet halfelin",Réduction du malus d'attaque dû à la distance de 2
Tir perturbateur*,MJRA,"Dex 13, Tir à bout portant, guerrier de niveau 6",Les attaques à distance augmentent le DD des tests de Concentration des ennemis
Tir rapide*,MJ,"Dex 13, Tir à bout portant",1 attaque à distance supplémentaire
Tir soudain*,AG,"Dex 13, Tir à bout portant, Tir rapide, Arme de prédilection, BBA +6","Quand le personnage utilise une arme à distance, il menace les cases qui se trouvent à 1,50 m de lui"
Tir soudain supérieur*,AG,"Dex 17, Science du tir soudain, Tir à bout portant, Tir rapide, Tir soudain, BBA +12",Bonus aux jets de dégâts et de confirmation de coup critique avec les armes à distance
Tirailleur monté*,MJRA,"14 rangs en Équitation, Combat monté, Astuce d'équitation",Effectuer une attaque à outrance même si la monture se déplace à sa VD
Tireur à l'arme de siège*,AG,"Ingénieur de siège, 5 rangs en Profession (ingénieur de siège)",Pas de malus pour tirer avec une arme de siège directe
Tireur à la fronde couché*,AG,—,Peut utiliser une fronde en étant couché
Tireur couché*,AG,BBA +1,Augmente la CA du personnage contre les attaques au corps à corps lorsqu'il est à terre
Tirs groupés*,AG,"Tir à bout portant, Tir de précision, BBA +6",Les attaques à distance effectuées lors d'une action complexe infligent des dégâts maximaux avant application de la RD
Tisseur de cauchemar*,AG,"Science du combat à mains nues, Poing de cauchemar, 2 rangs en Intimidation, capacité à lancer ténèbres",Peut démoraliser les adversaires en lançant ténèbres
Tolérance à l'aversion,CM,Vampire,"""=+2 aux jets de sauvegarde pour résister aux aversions"
Tonnerres jumeaux*,AG,"Nain ou gnome, trait racial entraînement défensif, Combat à deux armes ou capacité de classe déluge de coups, Arme de prédilection avec les deux armes utilisées","Remplace une attaque contre un géant par une tentative de désarmement, de destruction d'arme ou de croc-en-jambe"
Totem spirituel,CCMI,Membre d'une tribu clanique,Gagne un avantage lié au thème de la tribu
Touche d'ombre,MR,Wayang,Déplacements discrets à vitesse normale sans malus dans les zones faiblement éclairées et dans les ténèbres
Toucher de la sérénité*,MJRA,"Sag 18, Science du combat à mains nues, BBA +8","Les ennemis touchés par les attaques à mains nues ne peuvent ni attaquer, ni incanter"
Tour de passe-passe*,AG,"Int 13, Expertise du combat, Esquive, Science de la feinte, Souplesse du serpent, taille P ou plus petit",Un test d'Acrobatie réussi permet de faire une feinte
Tourner en pleine charge*,CSU,"Combat monté, Attaque au galop, 5 rangs en Équitation, affinité avec le Dernier Rempart",Tourne pendant une charge montée
Tours de magie ou oraisons supplémentaires,AM,Capacité à lancer des tours de magie ou des oraisons,Gain de 2 tours de magie ou oraisons connus
Toxine profonde,DTT,Frappe décisive; BBA +6; 6 rangs en Artisanat (poison) ou capacité de classe utilisation du poison,Les poisons délivrés lors d'une Frappe décisive font effets immédiatement et durent plus longtemps
Toxine sournoise,DTT,"BBA +5, capacité de classe attaque sournoise",Ignore les dégâts supplémentaires d'une attaque sournoise pour augmenter le DD d'un poison
Trafiquant de camelote,MR,"5 rangs en Estimation, 5 rangs en Bluff, gnome",Pousse des créatures à échanger des objets précieux contre des babioles
Traits supplémentaires,MJRA,—,Deux traits supplémentaires
Trancheur de pieds*,MPNJ,—,"Par une action simple, le personnage qui blesse un adversaire plus grand que lui réduit sa vitesse de moitié."
Transfert longue distance,AO,"Capacité de classe fantôme, fantôme avec la capacité livrer un sort de contact",Le fantôme peut livrer les sorts de contact dans un rayon de 6 m de plus
Transmettre sa chance,MR,"Chance insolente, Chance inexplicable, humain","Gain d'une utilisation supplémentaire de Chance insolente, utilise Chance inexplicable au profit d'un allié"
Transmutation tenace,MJRA,École renforcée (transmutation),"""=+2 au DD pour dissiper les transmutations du personnage"
Trapéziste des arbres*,MR,"1 rang en Acrobaties, vanara",Utilise la queue pour se défendre des crocs-en-jambe et pour se suspendre à des objets
Traqueur au clair de lune*,AG,"Int 13, Combat en aveugle, Expertise du combat, 3 rangs en Bluff, trait racial vision nocturne ou vision dans le noir","""=+2 aux jets de dégâts et d'attaque quand le personnage est camouflé"
Traqueur nocturne,CM,"Talent (Discrétion), pouvoir vision dans le noir, demi-ogre ou ogre, taille G ou plus",Pas de malus de taille aux tests de Discrétion dans les ténèbres
Travail en équipe*,MJRA,"Int 13, Expertise du combat, Attaque en groupe, BBA +6",aider quelqu'un par une action de mouvement avec 2 alliés adjacents
Trépanation,OO,"5 rangs en Premiers secours, 2 rangs en Connaissances (mystères)",Apprend à maîtriser la guérison miraculeuse
Troisième oeil,AO,Sensibilité psychique ou capacité à lancer des sorts psychiques,Le troisième oeil permet de lire les auras et de discerner la vérité
Troll sprinteur,CM,"Rapide, pouvoir régénération, troll",Augmente la vitesse de déplacement au dépend de la régénération
Tromper la magie,UI,"Fourberie, 1 rang en Déguisement, 1 rang en Utilisation d'objets magiques",Utilise le Déguisement pour tromper les objets magiques
Tromperie ultime,UI,"Cha 17, 17 rangs en Déguisement, astuce de maître ninja maître du déguisement ou talent de maître roublard maître du déguisement, ninja de niveau 10 ou roublard de niveau 10",Trompe les divinations avec le Déguisement
Tuerie fracassante*,MCA,"Force intimidante, 4 rangs en Intimidation, tueur de niveau 4","Quand ses attaques au corps à corps réduisent un adversaire à moins de 0 point de vie, le personnage démoralise ceux qui l'entourent"
"Tueur de chiens, chasseur de chevaux",MR,"Gobelin, 1 rang en Dressage","""=+2 aux jets d'attaque, de dégâts et de confirmation critique contre les chiens et les chevaux"
Tueur de géants*,MR,"For 13, Enchaînement, Enchaîner les gobelins, Débiter les orques, Attaque en puissance, Riposte, BBA +11, nain","Cible plus de créatures pendant un enchaînement si elles sont plus grandes que le personnage, +2 à l'attaque contre ces créatures"
Tueur intimidant,AG,"Capacité de classe tueur, Démonstration, Arme de prédilection, personnage de niveau 8",Bonus de +2 à Démonstration tant que le pouvoir tueur est actif
Tueur magique,AG,Capacité de classe tueur,Augmente le DD des sorts lancés de 2
Tueur menaçant,AG,Capacité de classe tueur,Imprègne l'arme de la propriété spéciale menaçante
Tueur miséricordieux,AG,Capacité de classe tueur,Fait passer les dégâts de létaux à non létaux par une action rapide
Tueur prolongé,AM,Capacité de classe tueur,La propriété tueur se prolonge pendant un nombre de rounds égal à la Sagesse
Tueur supplémentaire,AG,Capacité de classe tueur,Peut utiliser tueur 3 fois de plus par jour
Tumeur aberrante,MCA,Lignage aberrant,Le personnage gagne un familier tumeur
Ultime fermeté,AM,Capacité de classe aura de fermeté,L'aura de fermeté grandit et ne disparaît pas quand le personnage tombe
Une fronde pour fléau*,AG,"Arme de prédilection (fronde), BBA +1",Peut faire des attaques au corps à corps avec une fronde
Vagabond expérimenté,RSE,"2 rangs en Bluff, 2 rangs en Connaissances (folklore local), le personnage doit être d'une classe sociale défavorisée",Gagne des bonus pour traiter avec les criminels et les vagabonds
Vagabond planaire,UI,"Cartogramancien, 10 rangs en Connaissances (géographie), 10 rangs en Connaissances (plans), capacité à lancer téléportation suprême]] et changement de plan",Destination plus fiable avec changement de plan
Vagabond sournois,RSE,—,"Le personnage se cache plus facilement dans la foule et quand il est poursuivi, et trouve plus facilement des planques en milieu urbain"
Vandale,MR,"Gobelin, capacité de classe attaque sournoise",Inflige la moitié des dégâts d'attaque sournoise aux objets abandonnés
Variante supplémentaire,MTT,"Canalisation variable ou capacité à utiliser une variante de canalisation, capacité de classe canalisation d'énergie",La canalisation d'énergie est plus polyvalente
Vendetta arcanique,CCMI,1 rang en Art de la magie,bonus de dégâts +2 contre les lanceurs de sorts profanes
Vengeance sanglante*,D&M,"BBA +1, suivant de Calistria",L'étude d'ennemis ayant blessés le personnage lui permet de leur infliger des dégâts de saignement
Vengeance sanguinaire,MR,"Demi-orque ou orque, alignement non-Loyal",Entre dans une rage mineure lorsqu'un allié est tué ou gravement blessé
Venin de sommeil,MR,Vishkanya,Altère le poison racial pour endormir ses cibles
Vérification,DTT,"Capacité à lancer des sorts de 1er niveau, alignement Loyal Mauvais, suivant du dieu-diable des contrats",Le personnage décèle plus facilement le mensonge lorsqu'il a un rapport avec le respect d'un contrat
Vérité dans le vin,OO,3 rangs en Estimation,Améliore les capacités d'estimation grâce à la consommation d'alcool
Vieux comme la poussière,CM,"Dormeur, Creuseur de terrier, avoir été une goule pendant au moins 500 ans",Empêche de mourir sauf si le corps est complètement détruit
Vigilance,MJ,—,"""=+2 aux tests de Perception et de Psychologie"
Vigilance instinctive,AM,Vigilance,bonus de +1 aux tests de Perception et de Psychologie et de +2 aux jets de sauvegarde contre les effets de sommeil et de charme
Vigueur du scalde,MCA,Capacité de classe chant de rage,Le personnage gagne guérison accélérée lorsqu'il est en rage et effectue une représentation ou un chant de rage
Vigueur élémentaire,ISG,Suivant d'un seigneur élémentaire,Gain de points de vie temporaires et de +3 m de vitesse en forme élémentaire
Vigueur en rage,MJRA,"Con 15, capacité de classe rage de berserker",Constitution +2 en rage et permet de rester en rage même inconscient
Vigueur surhumaine,MJ,—,"""=+2 aux jets de Vigueur"
Vigueur surhumaine du scalde,MCA,"Vigueur du scalde, 10 rangs en Représentation (chant)",Les alliés du personnage partagent la guérison accélérée de Vigueur du scalde
Virage sur l'aile,B1,Vitesse de vol,Virage à 180° en vol sans test de Vol une fois par round
Virtuose psychique,AO,Sensibilité psychique ou capacité à lancer des sorts psychiques,"""=+2 aux tests d'extension de compétence occulte (+4 dès 10 rangs)"
Visage de pierre,MJRA,Nain,Bonus de +4 aux tests de Bluff pour mentir ou cacher son but
Viser*,MJ,"Dex 13, BBA +1",Échange le bonus d'attaque à distance contre un bonus aux dégâts
Viser juste*,MJ,"Science du tir de précision, BBA +16",Pas de bonus d'armure ni de bouclier contre une attaque à distance
Visible et invisible,MR,"Voie de l'exilé, personnage de niveau 5, demi-elfe","""=+2 aux jets de sauvegarde contre les effets de divination et de scrutation, +2 aux tests de Discrétion, malus de -4 pour pister le personnage"
Vision à travers le feu,MR,Ifrit,Voit à travers le feu et la fumée sans malus
